P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
MADLP	OH	APHP	0.0252429	0.763359	0.222625	0.0310012	450.114	228.9	217.629
OL	MADLP	APHP	0.00757716	0.220979	0.412555	0.00685525	593.041	165.598	163.108
TACHP	APHP	MADLP	0.0318074	0.730681	0.232487	0.0208224	399.178	253.818	238.169
TACLP	APHP	MADLP	0.0289501	0.596473	0.27543	0.0193369	383.553	258.197	243.668
OL	OH	APHP	0.0300241	1.37453	0.0846388	0.0378793	433.434	236.069	222.307
TACHP	APHP	OH	0.0278503	0.691266	0.244699	0.0621691	386.159	252.071	238.411
TACLP	APHP	OH	0.0394909	0.926711	0.177038	0.0882214	375.547	261.463	241.596
TACHP	APHP	OL	0.0197841	0.40587	0.342419	0.0241097	398.557	250.706	240.979
TACLP	APHP	OL	0.0240373	0.474017	0.317744	0.029939	386.046	258.199	246.077
TACLP	TACHP	APHP	0.119599	2.10093	0.0178234	0.0840501	648.235	93.6314	73.6275
GH	GL	APLP	0.0231298	0.414749	0.339163	0.0278216	485.645	102.911	98.2584
APLP	GH	MADHP	0.024283	0.644581	0.259599	0.0128641	481.562	213.785	203.648
APLP	GH	MADLP	0.0426569	1.09743	0.136227	0.0236736	473.563	217.888	200.059
APLP	GH	OH	0.0283213	0.862136	0.194306	0.0520411	458.259	210.827	199.214
APLP	GH	OL	0.0221001	0.608821	0.271322	0.022113	474.596	210.477	201.375
APLP	GH	TACHP	0.0997716	1.59852	0.0549638	0.0920741	314.887	278.04	227.593
APLP	GH	TACLP	0.10766	1.70822	0.0437975	0.073325	330.958	274.624	221.24
APLP	GL	MADHP	0.0241565	0.524244	0.300054	0.0126329	483.628	211.016	201.062
APLP	GL	MADLP	0.0339922	0.738907	0.229982	0.0186054	477.249	213.104	199.093
APLP	GL	OH	0.00912209	0.244177	0.403547	0.0166397	465.365	205.38	201.667
APLP	GL	OL	0.0183701	0.471023	0.318812	0.0182202	478.249	207.875	200.375
APLP	GL	TACHP	0.0916266	1.18399	0.118208	0.0852826	323.285	278.007	231.337
APLP	GL	TACLP	0.140302	1.81332	0.0348913	0.0965017	329.625	285.512	215.254
MADHP	MADLP	APLP	0.0246772	0.509182	0.305312	0.00993549	778.364	91.5538	87.144
MADHP	OH	APLP	0.0440894	1.32768	0.0921414	0.0425102	472.566	223.405	204.537
MADHP	OL	APLP	0.0152809	0.4837	0.314299	0.0105712	626.881	155.869	151.177
APLP	TACHP	MADHP	0.0198155	0.391122	0.347854	0.0118879	422.298	241.046	231.679
APLP	TACLP	MADHP	0.0235975	0.422826	0.336211	0.0145378	405.191	248.452	236.996
MADLP	OH	APLP	0.0331023	0.985739	0.162131	0.0328643	461.526	225.612	211.154
MADLP	OL	APLP	0.000874241	0.0257275	0.489737	0.000641375	606.561	161.515	161.233
APLP	TACHP	MADLP	0.00474278	0.102967	0.458994	0.00297081	420.953	236.981	234.744
APLP	TACLP	MADLP	0.00693956	0.13592	0.445942	0.00445771	403.985	243.557	240.2
OL	OH	APLP	0.031608	1.39215	0.0819388	0.0321634	443.396	231.331	217.156
APLP	TACHP	OH	0.00221303	0.0548842	0.478115	0.00465987	406.167	235.456	234.416
TACLP	APLP	OH	0.0107085	0.24694	0.402477	0.0229427	393.138	243.81	238.644
APLP	TACHP	OL	0.0113561	0.233753	0.407588	0.0130846	420.365	239.824	234.438
APLP	TACLP	OL	0.00614214	0.120666	0.451978	0.0072687	405.56	245.049	242.057
TACLP	TACHP	APLP	0.133	2.26454	0.0117706	0.0799861	627.151	95.5111	73.0875
GL	GH	MADHP	0.00106333	0.0227276	0.490934	0.000234156	740.91	85.7463	85.5641
GL	GH	MADLP	0.022046	0.477357	0.316554	0.00516157	731.535	88.4729	84.6561
GL	GH	OH	0.0440837	1.10826	0.133876	0.0359028	728.369	93.5492	85.6494
GL	GH	OL	0.00914173	0.219369	0.413181	0.00397469	739.947	88.4407	86.8384
GL	GH	TACHP	0.0181227	0.266529	0.394916	0.00752311	530.365	106.132	102.354
GH	GL	TACLP	0.0851028	1.25071	0.105519	0.0249904	534.422	107.576	90.7018
MADHP	MADLP	GH	0.0640507	1.33588	0.0907942	0.0195083	769.502	100.519	88.4179
MADHP	OH	GH	0.0461406	1.44972	0.0735685	0.0327956	468.178	230.629	210.285
MADHP	OL	GH	0.0115829	0.315846	0.37606	0.00589585	621.617	159.707	156.05
TACHP	GH	MADHP	0.00173766	0.0354355	0.485866	0.000989122	452.653	221.723	220.954
GH	TACLP	MADHP	0.00290049	0.0506488	0.479803	0.00169521	438.129	228.004	226.685
MADLP	OH	GH	0.0182876	0.513253	0.303887	0.0135501	453.78	229.478	221.236
OL	MADLP	GH	0.025409	0.727347	0.233507	0.0137063	597.888	170.387	161.943
TACHP	GH	MADLP	0.0353674	0.708099	0.239442	0.0207455	447.039	228.211	212.62
TACLP	GH	MADLP	0.0319923	0.548335	0.291731	0.01926	432.745	233.403	218.932
OL	OH	GH	0.0360883	1.65403	0.0490612	0.0270851	439.988	239.536	222.849
TACHP	GH	OH	0.0234643	0.604292	0.272825	0.0481195	441.173	230.586	220.013
TACLP	GH	OH	0.0364804	0.854359	0.196453	0.0745126	429.465	238.366	221.586
TACHP	GH	OL	0.00835584	0.189946	0.424676	0.00921056	451.502	224.229	220.513
TACLP	GH	OL	0.0134362	0.282925	0.388617	0.0150914	438.215	230.429	224.319
TACLP	TACHP	GH	0.110708	1.54173	0.0615699	0.0478693	578.945	97.7524	78.2658
MADHP	MADLP	GL	0.0455095	0.975071	0.164763	0.00975001	770.056	97.2571	88.7902
MADHP	OH	GL	0.0290197	0.852563	0.196951	0.0145328	469.312	223.863	211.237
MADHP	OL	GL	0.00715621	0.187348	0.425694	0.00257493	620.941	157.428	155.191
TACHP	GL	MADHP	0.0013168	0.0253983	0.489869	0.000754889	450.539	223.205	222.618
GL	TACLP	MADHP	0.00338929	0.0603654	0.475932	0.00192944	449.179	222.18	220.679
MADLP	OH	GL	0.00933332	0.239324	0.405427	0.0048357	457.114	224.913	220.753
OL	MADLP	GL	0.0189711	0.552215	0.2904	0.00718755	598.622	167.305	161.075
TACHP	GL	MADLP	0.0266051	0.520564	0.301335	0.0156668	446.032	227.165	215.39
TACLP	GL	MADLP	0.0242785	0.413253	0.339711	0.0141802	444.782	224.749	214.094
OL	OH	GL	0.0227202	0.857571	0.195565	0.0119866	442.183	233.831	223.441
TACHP	GL	OH	0.00586444	0.160758	0.436142	0.0121665	443.967	229.26	226.586
TACLP	GL	OH	0.0198182	0.525393	0.299655	0.0394318	444.337	228.463	219.584
TACHP	GL	OL	0.00467636	0.102328	0.459248	0.00523914	452.167	227.07	224.957
TACLP	GL	OL	0.0101079	0.209392	0.417071	0.0111338	451.496	225.234	220.726
TACHP	TACLP	GL	0.006772	0.0839676	0.466541	0.00181581	570.455	86.6496	85.4839
MADLP	MADHP	OH	0.0601948	1.42044	0.0777398	0	539.856	116.666	103.418
MADLP	MADHP	OL	0.102166	1.78868	0.0368331	0	355.573	140.056	114.091
MADLP	MADHP	TACHP	0.0150758	0.265211	0.395424	0.00372055	773.432	91.5789	88.8586
MADLP	MADHP	TACLP	0.0204032	0.375454	0.353661	0.00415021	772	92.2347	88.5462
OL	MADHP	OH	0.0981054	3.16976	0.000762837	6.94892	415.289	207.615	170.518
MADHP	OH	TACHP	0.0245876	0.828679	0.203643	0.01445	467.733	219.611	209.071
MADHP	OH	TACLP	0.00529559	0.1805	0.42838	0.00253851	467.513	213.185	210.939
MADHP	OL	TACHP	0.00235284	0.0859359	0.465759	0.000972564	616.945	151.319	150.609
OL	MADHP	TACLP	0.0125788	0.470822	0.318884	0.0042432	616.051	151.803	148.031
TACHP	TACLP	MADHP	0.0148115	0.299341	0.38234	0.00268496	782.335	71.5313	69.4433
OL	MADLP	OH	0.0600344	2.16879	0.0150493	4.46735	405.509	210.552	186.703
MADLP	OH	TACHP	0.0299738	0.874583	0.190901	0.0180627	462.706	227.832	214.571
MADLP	OH	TACLP	0.0135891	0.391379	0.347758	0.00667734	462.402	221.322	215.387
MADLP	OL	TACHP	0.0107621	0.282541	0.388764	0.00468577	600.76	161.099	157.669
OL	MADLP	TACLP	0.000263541	0.00699034	0.497211	9.34171e-05	599.547	157.575	157.492
TACHP	TACLP	MADLP	0.00777768	0.154274	0.438697	0.00148997	787.038	72.546	71.4263
OL	OH	TACHP	0.0218443	1.01869	0.154175	0.0134926	440.939	229.914	220.084
OL	OH	TACLP	0.0135159	0.662845	0.253715	0.00677006	442.85	225.618	219.601
TACLP	TACHP	OH	0.042125	0.961775	0.168081	0.0275604	779.119	76.7674	70.5612
TACLP	TACHP	OL	0.016938	0.381945	0.351251	0.00591272	784.044	71.8629	69.4691
