P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
TACHP	APLP	MADLP	0.0227229	0.363435	0.35814	0.0126858	309.681	142.743	136.4
TACLP	APLP	MADLP	0.00741601	0.0997471	0.460273	0.00406837	310.728	136.81	134.796
OH	OL	APLP	0.0248493	0.818812	0.206447	0.0160153	302.971	130.527	124.197
APLP	TACHP	OH	0.0140061	0.264671	0.395631	0.0204913	313.489	139.676	135.818
APLP	TACLP	OH	0.0197028	0.304825	0.38025	0.0282031	316.768	137.428	132.117
TACHP	APLP	OL	0.0112384	0.194369	0.422943	0.0118405	310.506	139.164	136.071
APLP	TACLP	OL	0.000652577	0.00927929	0.496298	0.000680042	313.023	134.878	134.702
TACHP	TACLP	APLP	0.0794494	1.0929	0.137219	0.0318334	366.697	47.4129	40.4336
GL	GH	MADHP	0.149493	2.3688	0.00892306	0.0240859	474.958	50.1781	37.1266
GL	GH	MADLP	0.182833	3.00478	0.00132888	0.0290252	474.9	49.8355	34.4291
GL	GH	OH	0.141929	2.41581	0.00785008	0.0569794	473.63	49.0046	36.8232
GL	GH	OL	0.150623	2.45875	0.00697109	0.045732	470.22	49.9074	36.8411
GH	GL	TACHP	0.0540245	0.653236	0.256802	0.016501	320.757	58.3325	52.3528
GH	GL	TACLP	0.0632127	0.71846	0.236237	0.014653	330.99	58.21	51.2883
MADLP	MADHP	GH	0.00326755	0.0544415	0.478292	0.000741973	506.607	43.6139	43.3298
MADHP	OH	GH	0.000696409	0.0165112	0.493413	0.000403913	347.794	111.017	110.862
MADHP	OL	GH	0.0242946	0.396065	0.346028	0.0116791	384.499	94.1862	89.7183
GH	TACHP	MADHP	0.0361886	0.723087	0.234813	0.0193272	292.45	146.292	136.074
GH	TACLP	MADHP	0.0425789	0.746251	0.227758	0.024165	288.72	156.417	143.641
MADLP	OH	GH	0.00197237	0.0468067	0.481334	0.00114553	350.121	111.408	110.97
MADLP	OL	GH	0.0271782	0.502966	0.307494	0.0124109	389.952	89.7988	85.0468
GH	TACHP	MADLP	0.0612145	1.20409	0.114278	0.0332785	288.355	148.869	131.694
GH	TACLP	MADLP	0.0725615	1.29968	0.0968558	0.0416661	282.784	158.924	137.421
OH	OL	GH	0.0172685	0.515186	0.303212	0.0112782	313.854	127.048	122.735
GH	TACHP	OH	0.0576281	1.44006	0.0749257	0.0800562	288.711	148.693	132.489
GH	TACLP	OH	0.0599086	1.36732	0.0857628	0.0872307	283.455	156.187	138.531
GH	TACHP	OL	0.0398865	0.909201	0.181622	0.0413329	287.531	146.891	135.623
GH	TACLP	OL	0.0494125	1.01889	0.154127	0.0533241	280.447	154.373	139.836
TACLP	TACHP	GH	0.136773	1.82384	0.0340882	0.0474165	407.008	46.9498	35.6521
MADLP	MADHP	GL	0.0313685	0.42561	0.335196	0.00467049	519.429	43.3842	40.7452
MADHP	OH	GL	0.00471847	0.100761	0.45987	0.00182183	358.042	109.083	108.058
MADHP	OL	GL	0.0248105	0.396562	0.345845	0.00791819	395.347	91.9682	87.5152
GL	TACHP	MADHP	0.0849198	1.50836	0.065731	0.0429436	300.784	148.646	125.376
GL	TACLP	MADHP	0.088039	1.41142	0.0790609	0.0476638	298.821	159.597	133.769
MADLP	OH	GL	0.0167626	0.389195	0.348566	0.00648377	362.004	111.11	107.447
MADLP	OL	GL	0.0415943	0.799432	0.21202	0.0125515	402.019	88.7991	81.707
GL	TACHP	MADLP	0.119846	2.27015	0.0115992	0.0613815	297.685	152.219	119.638
GL	TACLP	MADLP	0.127663	2.2501	0.0122212	0.0695367	293.795	163.013	126.104
OH	OL	GL	0.0140377	0.385772	0.349833	0.00610585	323.704	123.831	120.403
GL	TACHP	OH	0.10487	2.27984	0.0113085	0.132774	295.526	149.528	121.143
GL	TACLP	OH	0.104994	2.24099	0.0125135	0.139567	291.2	157.01	127.173
GL	TACHP	OL	0.0892869	1.86226	0.0312834	0.0851716	295.06	148.44	124.106
GL	TACLP	OL	0.0970048	1.95208	0.0254642	0.0966135	289.078	156.083	128.479
TACLP	TACHP	GL	0.126965	1.29899	0.0969737	0.0260534	400.038	45.9596	35.6039
MADHP	MADLP	OH	0.0175034	0.472863	0.318155	0	280.365	56.2384	54.3035
MADHP	MADLP	OL	0.0819153	1.51653	0.0646932	0	223.359	64.9876	55.1467
MADHP	MADLP	TACHP	0.0784193	1.43345	0.0758648	0.0130986	491.979	45.8764	39.2044
MADHP	MADLP	TACLP	0.102634	1.81878	0.0344728	0.013959	487.127	45.3529	36.91
OH	OL	MADHP	0.16829	4.97067	3.33603e-07	0.198193	97.2899	200.796	142.948
MADHP	OH	TACHP	0.0280621	0.831092	0.202961	0.0120642	333.044	112.471	106.331
MADHP	OH	TACLP	0.0232877	0.608897	0.271296	0.00832364	329.731	110.61	105.576
MADHP	OL	TACHP	0.030509	0.685794	0.246422	0.0108418	372.234	93.1902	87.6722
MADHP	OL	TACLP	0.0346886	0.724753	0.234302	0.0102991	368.679	92.9039	86.6746
TACHP	TACLP	MADHP	0.0345585	0.439357	0.330201	0.00493139	541.943	38.2849	35.7272
OH	OL	MADLP	0.189248	5.29058	6.09645e-08	0.238443	93.2558	206.603	140.849
OH	MADLP	TACHP	0.0024035	0.0695551	0.472274	0.00105508	332.901	110.925	110.393
OH	MADLP	TACLP	0.0155749	0.433779	0.332224	0.00568201	328.774	111.126	107.718
OL	MADLP	TACHP	0.00658754	0.133082	0.447064	0.0022917	375.901	88.1698	87.0158
OL	MADLP	TACLP	0.0126094	0.239713	0.405276	0.0036976	372.286	88.8837	86.6701
TACHP	TACLP	MADLP	0.0586067	0.715	0.237305	0.00867468	534.31	39.0945	34.7658
OL	OH	TACHP	0.00249544	0.104514	0.458381	0.00123049	299.875	124.96	124.338
OH	OL	TACLP	0.00480171	0.179918	0.428608	0.00199184	297.285	125.016	123.821
TACHP	TACLP	OH	0.0194646	0.380466	0.3518	0.00771183	536.653	38.0291	36.5769
TACHP	TACLP	OL	0.0448292	0.719883	0.235799	0.012514	535.526	38.0967	34.8276
