P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
OH	MADLP	GH	0.0505651	1.0854	0.138873	0.0333659	683.543	194.031	175.353
OL	MADLP	GH	0.149462	2.2456	0.0123649	0.103715	672.28	241.072	178.38
MADLP	GH	TACHP	0.52823	8.29394	5.47522e-17	0.402348	586.711	520.836	160.784
MADLP	GH	TACLP	0.479614	5.34226	4.58968e-08	0.304157	594.998	506.846	178.259
OL	OH	GH	0.0874968	2.20794	0.0136241	0.072812	601.023	273.525	229.511
OH	GH	TACHP	0.525625	8.22034	1.01481e-16	0.405299	576.359	529.162	164.537
OH	GH	TACLP	0.477009	5.43459	2.74617e-08	0.305831	582.501	513.026	181.656
OL	GH	TACHP	0.527456	9.33766	0	0.41273	547.538	544.356	168.405
OL	GH	TACLP	0.483915	6.24954	2.05838e-10	0.31484	555.376	529.915	184.297
TACLP	TACHP	GH	0.092386	1.53114	0.062867	0.0352776	684.359	131.711	109.433
MADHP	MADLP	GL	0.0132307	0.446695	0.327548	0.00427803	940.502	121.619	118.443
OH	MADHP	GL	0.0332394	0.680613	0.248058	0.0174348	690.559	204.808	191.631
OL	MADHP	GL	0.0993974	1.2527	0.105157	0.0558636	690.235	243.083	199.129
TACHP	GL	MADHP	0.518144	6.5049	3.88727e-11	0.278848	585.929	523.762	166.241
TACLP	GL	MADHP	0.491108	5.47255	2.21806e-08	0.272117	582.918	524.886	179.136
OH	MADLP	GL	0.0450951	0.933463	0.17529	0.0216371	728.987	189.5	173.146
OL	MADLP	GL	0.112512	1.47194	0.0705185	0.0599004	714.197	233.014	185.883
TACHP	GL	MADLP	0.540537	6.43218	6.28923e-11	0.282373	594.724	535.732	159.782
TACLP	GL	MADLP	0.516596	5.59484	1.10415e-08	0.277347	593.218	538.363	171.599
OL	OH	GL	0.0617318	1.42815	0.0766249	0.039116	639.82	264.671	233.894
TACHP	GL	OH	0.52918	7.19169	3.19961e-13	0.45099	601.52	526.175	162.004
TACLP	GL	OH	0.505237	6.21892	2.50288e-10	0.442942	597.338	526.129	172.935
TACHP	GL	OL	0.516276	7.10045	6.21738e-13	0.452187	612.332	506.21	161.492
TACLP	GL	OL	0.495812	6.24569	2.1097e-10	0.445706	609.827	507.841	171.176
TACLP	TACHP	GL	0.0168076	0.2722	0.392734	0.00602662	602.854	125.096	120.96
MADHP	MADLP	OH	0.175246	4.31979	7.809e-06	0	470.233	190.838	133.925
MADHP	MADLP	OL	0.111494	3.77644	7.95435e-05	0	523.162	185.463	148.255
MADLP	MADHP	TACHP	0.0649367	2.15617	0.0155352	0.0170931	1304.66	125.078	109.825
MADLP	MADHP	TACLP	0.0752718	2.56081	0.0052215	0.0165108	1295.21	127.402	109.565
OH	MADHP	OL	0.145629	3.59777	0.000160478	6.87988	373.647	335.049	249.868
OH	MADHP	TACHP	0.0560754	1.55626	0.0598234	0.0220748	1029.98	186.706	166.879
OH	MADHP	TACLP	0.0580262	1.5313	0.0628479	0.019031	1019.49	187.99	167.37
OL	MADHP	TACHP	0.080473	1.20914	0.113304	0.0342348	1013.8	209.132	177.98
OL	MADHP	TACLP	0.0891198	1.30853	0.095346	0.0317636	1005.97	213.063	178.194
TACHP	TACLP	MADHP	0.0576623	1.33841	0.0903811	0.00918045	993.626	107.95	96.1793
OH	MADLP	OL	0.228484	6.86124	3.4133e-12	9.88506	387.326	329.021	206.633
OH	MADLP	TACHP	0.0141975	0.401046	0.344193	0.00509179	1078.8	163.357	158.784
OH	MADLP	TACLP	0.00860219	0.239346	0.405418	0.00256883	1069.42	163.173	160.389
OL	MADLP	TACHP	0.0435005	0.645209	0.259396	0.0174796	1047.82	190.685	174.787
OL	MADLP	TACLP	0.0460271	0.662685	0.253766	0.0155152	1041.48	193.536	176.504
TACHP	TACLP	MADLP	0.0446758	0.994595	0.159967	0.00690062	1010.93	107.418	98.2302
OL	OH	TACHP	0.0266984	0.646724	0.258905	0.0124348	957.065	217.746	206.421
OL	OH	TACLP	0.0333224	0.793239	0.213819	0.0129797	949.265	220.923	206.675
TACHP	TACLP	OH	0.0528211	1.51821	0.0644805	0.0135948	1015.7	109.403	98.4254
TACHP	TACLP	OL	0.0393864	1.09812	0.136076	0.0105646	1026.81	106.267	98.2136
