PANTHER Pathways	danio_orthologue_universe.txt - REFLIST (13223)	river_specific_outlier_danio_ensembl_Aripo.txt (332)	river_specific_outlier_danio_ensembl_Aripo.txt (expected)	river_specific_outlier_danio_ensembl_Aripo.txt (over/under)	river_specific_outlier_danio_ensembl_Aripo.txt (fold Enrichment)	river_specific_outlier_danio_ensembl_Aripo.txt (raw P-value)	river_specific_outlier_danio_ensembl_Aripo.txt (FDR)
Integrin signalling pathway (P00034)	133	1	3.34	-	.30	3.88E-01	1.00E00
Inflammation mediated by chemokine and cytokine signaling pathway (P00031)	164	1	4.12	-	.24	1.96E-01	1.00E00
Alzheimer disease-amyloid secretase pathway (P00003)	61	0	1.53	-	 < 0.01	4.07E-01	1.00E00
Toll pathway-drosophila (P06217)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
Xanthine and guanine salvage pathway (P02788)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
Valine biosynthesis (P02785)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
Tyrosine biosynthesis (P02784)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Triacylglycerol metabolism (P02782)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Thiamin metabolism (P02780)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
Synaptic vesicle trafficking (P05734)	28	0	.70	-	 < 0.01	1.00E00	1.00E00
Sulfate assimilation (P02778)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Succinate to proprionate conversion (P02777)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
Serine glycine biosynthesis (P02776)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
Salvage pyrimidine deoxyribonucleotides (P02774)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
S-adenosylmethionine biosynthesis (P02773)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
Pyruvate metabolism (P02772)	6	0	.15	-	 < 0.01	1.00E00	1.00E00
Pyrimidine Metabolism (P02771)	10	0	.25	-	 < 0.01	1.00E00	1.00E00
Purine metabolism (P02769)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
Proline biosynthesis (P02768)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
Phenylethylamine degradation (P02766)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
Pentose phosphate pathway (P02762)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
Opioid proopiomelanocortin pathway (P05917)	33	0	.83	-	 < 0.01	1.00E00	1.00E00
Opioid prodynorphin pathway (P05916)	30	0	.75	-	 < 0.01	1.00E00	1.00E00
Opioid proenkephalin pathway (P05915)	33	0	.83	-	 < 0.01	1.00E00	1.00E00
Pyridoxal-5-phosphate biosynthesis (P02759)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
Ornithine degradation (P02758)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
O-antigen biosynthesis (P02757)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
N-acetylglucosamine metabolism (P02756)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
Methylmalonyl pathway (P02755)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
Methylcitrate cycle (P02754)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
Methionine biosynthesis (P02753)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
Mannose metabolism (P02752)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
Lysine biosynthesis (P02751)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Leucine biosynthesis (P02749)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
Isoleucine biosynthesis (P02748)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
Heme biosynthesis (P02746)	8	0	.20	-	 < 0.01	1.00E00	1.00E00
Glutamine glutamate conversion (P02745)	6	0	.15	-	 < 0.01	1.00E00	1.00E00
Formyltetrahydroformate biosynthesis (P02743)	6	0	.15	-	 < 0.01	1.00E00	1.00E00
Tetrahydrofolate biosynthesis (P02742)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
Flavin biosynthesis (P02741)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
De novo pyrimidine ribonucleotides biosythesis (P02740)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
mRNA splicing (P00058)	6	0	.15	-	 < 0.01	1.00E00	1.00E00
Toll receptor signaling pathway (P00054)	40	0	1.00	-	 < 0.01	6.27E-01	1.00E00
T cell activation (P00053)	54	0	1.36	-	 < 0.01	6.44E-01	1.00E00
TCA cycle (P00051)	6	0	.15	-	 < 0.01	1.00E00	1.00E00
Vitamin D metabolism and pathway (P04396)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
Plasminogen activating cascade (P00050)	12	0	.30	-	 < 0.01	1.00E00	1.00E00
Vasopressin synthesis (P04395)	9	0	.23	-	 < 0.01	1.00E00	1.00E00
Ras Pathway (P04393)	64	0	1.61	-	 < 0.01	4.10E-01	1.00E00
De novo pyrimidine deoxyribonucleotide biosynthesis (P02739)	6	0	.15	-	 < 0.01	1.00E00	1.00E00
Coenzyme A biosynthesis (P02736)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
Asparagine and aspartate biosynthesis (P02730)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
PI3 kinase pathway (P00048)	47	0	1.18	-	 < 0.01	6.32E-01	1.00E00
PDGF signaling pathway (P00047)	123	0	3.09	-	 < 0.01	7.83E-02	1.00E00
Oxidative stress response (P00046)	48	0	1.21	-	 < 0.01	6.33E-01	1.00E00
Histamine synthesis (P04387)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Gamma-aminobutyric acid synthesis (P04384)	6	0	.15	-	 < 0.01	1.00E00	1.00E00
Ascorbate degradation (P02729)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
Arginine biosynthesis (P02728)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
Androgen/estrogene/progesterone biosynthesis (P02727)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
Cortocotropin releasing factor receptor signaling pathway (P04380)	27	0	.68	-	 < 0.01	1.00E00	1.00E00
Aminobutyrate degradation (P02726)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
Allantoin degradation (P02725)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
Alanine biosynthesis (P02724)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
Adenine and hypoxanthine salvage pathway (P02723)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
Acetate utilization (P02722)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
ATP synthesis (P02721)	6	0	.15	-	 < 0.01	1.00E00	1.00E00
JAK/STAT signaling pathway (P00038)	12	0	.30	-	 < 0.01	1.00E00	1.00E00
Interleukin signaling pathway (P00036)	56	0	1.41	-	 < 0.01	6.49E-01	1.00E00
Interferon-gamma signaling pathway (P00035)	25	0	.63	-	 < 0.01	1.00E00	1.00E00
Beta3 adrenergic receptor signaling pathway (P04379)	24	0	.60	-	 < 0.01	1.00E00	1.00E00
Insulin/IGF pathway-protein kinase B signaling cascade (P00033)	33	0	.83	-	 < 0.01	1.00E00	1.00E00
Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade (P00032)	29	0	.73	-	 < 0.01	1.00E00	1.00E00
5HT4 type receptor mediated signaling pathway (P04376)	30	0	.75	-	 < 0.01	1.00E00	1.00E00
5HT3 type receptor mediated signaling pathway (P04375)	14	0	.35	-	 < 0.01	1.00E00	1.00E00
5-Hydroxytryptamine biosynthesis (P04371)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction (P00028)	33	0	.83	-	 < 0.01	1.00E00	1.00E00
Glycolysis (P00024)	15	0	.38	-	 < 0.01	1.00E00	1.00E00
General transcription regulation (P00023)	31	0	.78	-	 < 0.01	1.00E00	1.00E00
General transcription by RNA polymerase I (P00022)	13	0	.33	-	 < 0.01	1.00E00	1.00E00
FGF signaling pathway (P00021)	92	0	2.31	-	 < 0.01	1.77E-01	1.00E00
FAS signaling pathway (P00020)	28	0	.70	-	 < 0.01	1.00E00	1.00E00
EGF receptor signaling pathway (P00018)	107	0	2.69	-	 < 0.01	1.17E-01	1.00E00
Cholesterol biosynthesis (P00014)	11	0	.28	-	 < 0.01	1.00E00	1.00E00
Blood coagulation (P00011)	33	0	.83	-	 < 0.01	1.00E00	1.00E00
B cell activation (P00010)	55	0	1.38	-	 < 0.01	6.46E-01	1.00E00
Axon guidance mediated by netrin (P00009)	34	0	.85	-	 < 0.01	1.00E00	1.00E00
Axon guidance mediated by Slit/Robo (P00008)	23	0	.58	-	 < 0.01	1.00E00	1.00E00
Axon guidance mediated by semaphorins (P00007)	21	0	.53	-	 < 0.01	1.00E00	1.00E00
Apoptosis signaling pathway (P00006)	81	0	2.03	-	 < 0.01	2.71E-01	1.00E00
Alzheimer disease-presenilin pathway (P00004)	92	0	2.31	-	 < 0.01	1.77E-01	1.00E00
