
PANTHER Pathways	danio_orthologue_universe.txt - REFLIST (13223)	river_specific_outlier_danio_ensembl_Tacarigua.txt (342)	river_specific_outlier_danio_ensembl_Tacarigua.txt (expected)	river_specific_outlier_danio_ensembl_Tacarigua.txt (over/under)	river_specific_outlier_danio_ensembl_Tacarigua.txt (fold Enrichment)	river_specific_outlier_danio_ensembl_Tacarigua.txt (raw P-value)	river_specific_outlier_danio_ensembl_Tacarigua.txt (FDR)
5HT4 type receptor mediated signaling pathway (P04376)	30	1	.78	+	1.29	5.47E-01	1.00E00
Inflammation mediated by chemokine and cytokine signaling pathway (P00031)	164	5	4.24	+	1.18	6.20E-01	1.00E00
Opioid proopiomelanocortin pathway (P05917)	33	1	.85	+	1.17	5.81E-01	1.00E00
Opioid proenkephalin pathway (P05915)	33	1	.85	+	1.17	5.81E-01	1.00E00
Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction (P00028)	33	1	.85	+	1.17	5.81E-01	1.00E00
Huntington disease (P00029)	104	3	2.69	+	1.12	7.53E-01	1.00E00
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway (P00027)	106	3	2.74	+	1.09	7.56E-01	1.00E00
EGF receptor signaling pathway (P00018)	107	3	2.77	+	1.08	7.58E-01	1.00E00
5HT1 type receptor mediated signaling pathway (P04373)	37	1	.96	+	1.04	6.22E-01	1.00E00
Beta2 adrenergic receptor signaling pathway (P04378)	39	1	1.01	-	.99	1.00E00	1.00E00
Unclassified (UNCLASSIFIED)	11340	290	293.30	-	.99	5.84E-01	1.00E00
p38 MAPK pathway (P05918)	40	1	1.03	-	.97	1.00E00	1.00E00
Toll receptor signaling pathway (P00054)	40	1	1.03	-	.97	1.00E00	1.00E00
Metabotropic glutamate receptor group II pathway (P00040)	40	1	1.03	-	.97	1.00E00	1.00E00
Beta1 adrenergic receptor signaling pathway (P04377)	40	1	1.03	-	.97	1.00E00	1.00E00
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway (P00026)	130	3	3.36	-	.89	1.00E00	1.00E00
Integrin signalling pathway (P00034)	133	3	3.44	-	.87	1.00E00	1.00E00
FGF signaling pathway (P00021)	92	2	2.38	-	.84	1.00E00	1.00E00
Alzheimer disease-presenilin pathway (P00004)	92	2	2.38	-	.84	1.00E00	1.00E00
Wnt signaling pathway (P00057)	194	4	5.02	-	.80	8.21E-01	1.00E00
Oxytocin receptor mediated signaling pathway (P04391)	51	1	1.32	-	.76	1.00E00	1.00E00
Dopamine receptor mediated signaling pathway (P05912)	52	1	1.34	-	.74	1.00E00	1.00E00
Thyrotropin-releasing hormone receptor signaling pathway (P04394)	52	1	1.34	-	.74	1.00E00	1.00E00
5HT2 type receptor mediated signaling pathway (P04374)	56	1	1.45	-	.69	1.00E00	1.00E00
Ras Pathway (P04393)	64	1	1.66	-	.60	1.00E00	1.00E00
CCKR signaling map (P06959)	131	2	3.39	-	.59	7.77E-01	1.00E00
Gonadotropin-releasing hormone receptor pathway (P06664)	199	3	5.15	-	.58	4.95E-01	1.00E00
Angiogenesis (P00005)	145	2	3.75	-	.53	5.92E-01	1.00E00
TGF-beta signaling pathway (P00052)	93	1	2.41	-	.42	7.34E-01	1.00E00
Alzheimer disease-amyloid secretase pathway (P00003)	61	0	1.58	-	 < 0.01	4.09E-01	1.00E00
Alpha adrenergic receptor signaling pathway (P00002)	18	0	.47	-	 < 0.01	1.00E00	1.00E00
Nicotine pharmacodynamics pathway (P06587)	32	0	.83	-	 < 0.01	1.00E00	1.00E00
Toll pathway-drosophila (P06217)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
MYO signaling pathway (P06215)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Xanthine and guanine salvage pathway (P02788)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
Activin beta signaling pathway (P06210)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Vitamin B6 metabolism (P02787)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
Valine biosynthesis (P02785)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
Tyrosine biosynthesis (P02784)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Triacylglycerol metabolism (P02782)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Thiamin metabolism (P02780)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
ALP23B signaling pathway (P06209)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Synaptic vesicle trafficking (P05734)	28	0	.72	-	 < 0.01	1.00E00	1.00E00
GABA-B receptor II signaling (P05731)	32	0	.83	-	 < 0.01	1.00E00	1.00E00
Endogenous cannabinoid signaling (P05730)	18	0	.47	-	 < 0.01	1.00E00	1.00E00
Sulfate assimilation (P02778)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Serine glycine biosynthesis (P02776)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
Salvage pyrimidine ribonucleotides (P02775)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
Salvage pyrimidine deoxyribonucleotides (P02774)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
S-adenosylmethionine biosynthesis (P02773)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
Pyruvate metabolism (P02772)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
Pyrimidine Metabolism (P02771)	10	0	.26	-	 < 0.01	1.00E00	1.00E00
Pyridoxal phosphate salvage pathway (P02770)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
2-arachidonoylglycerol biosynthesis (P05726)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
Purine metabolism (P02769)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
Phenylethylamine degradation (P02766)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
Pentose phosphate pathway (P02762)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
Enkephalin release (P05913)	34	0	.88	-	 < 0.01	1.00E00	1.00E00
Angiotensin II-stimulated signaling through G proteins and beta-arrestin (P05911)	30	0	.78	-	 < 0.01	1.00E00	1.00E00
Pyridoxal-5-phosphate biosynthesis (P02759)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
Ornithine degradation (P02758)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
O-antigen biosynthesis (P02757)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
N-acetylglucosamine metabolism (P02756)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
Methylcitrate cycle (P02754)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
Methionine biosynthesis (P02753)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
Mannose metabolism (P02752)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
Lysine biosynthesis (P02751)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Ubiquitin proteasome pathway (P00060)	48	0	1.24	-	 < 0.01	6.35E-01	1.00E00
Leucine biosynthesis (P02749)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
Isoleucine biosynthesis (P02748)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
Heme biosynthesis (P02746)	8	0	.21	-	 < 0.01	1.00E00	1.00E00
Glutamine glutamate conversion (P02745)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
Fructose galactose metabolism (P02744)	8	0	.21	-	 < 0.01	1.00E00	1.00E00
Formyltetrahydroformate biosynthesis (P02743)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
Tetrahydrofolate biosynthesis (P02742)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
Flavin biosynthesis (P02741)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
VEGF signaling pathway (P00056)	55	0	1.42	-	 < 0.01	6.50E-01	1.00E00
T cell activation (P00053)	54	0	1.40	-	 < 0.01	6.48E-01	1.00E00
p53 pathway feedback loops 2 (P04398)	40	0	1.03	-	 < 0.01	6.27E-01	1.00E00
p53 pathway by glucose deprivation (P04397)	15	0	.39	-	 < 0.01	1.00E00	1.00E00
TCA cycle (P00051)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
Vasopressin synthesis (P04395)	9	0	.23	-	 < 0.01	1.00E00	1.00E00
De novo pyrimidine deoxyribonucleotide biosynthesis (P02739)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
P53 pathway feedback loops 1 (P04392)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
De novo purine biosynthesis (P02738)	21	0	.54	-	 < 0.01	1.00E00	1.00E00
Coenzyme A biosynthesis (P02736)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
Asparagine and aspartate biosynthesis (P02730)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
PI3 kinase pathway (P00048)	47	0	1.22	-	 < 0.01	6.33E-01	1.00E00
Notch signaling pathway (P00045)	23	0	.59	-	 < 0.01	1.00E00	1.00E00
Histamine synthesis (P04387)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Histamine H2 receptor mediated signaling pathway (P04386)	25	0	.65	-	 < 0.01	1.00E00	1.00E00
Histamine H1 receptor mediated signaling pathway (P04385)	37	0	.96	-	 < 0.01	1.00E00	1.00E00
Gamma-aminobutyric acid synthesis (P04384)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
Ascorbate degradation (P02729)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
Androgen/estrogene/progesterone biosynthesis (P02727)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
Aminobutyrate degradation (P02726)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
Allantoin degradation (P02725)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
Alanine biosynthesis (P02724)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
Adenine and hypoxanthine salvage pathway (P02723)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
Acetate utilization (P02722)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
ATP synthesis (P02721)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
JAK/STAT signaling pathway (P00038)	12	0	.31	-	 < 0.01	1.00E00	1.00E00
Interferon-gamma signaling pathway (P00035)	25	0	.65	-	 < 0.01	1.00E00	1.00E00
Insulin/IGF pathway-protein kinase B signaling cascade (P00033)	33	0	.85	-	 < 0.01	1.00E00	1.00E00
Hypoxia response via HIF activation (P00030)	21	0	.54	-	 < 0.01	1.00E00	1.00E00
5-Hydroxytryptamine biosynthesis (P04371)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
Glycolysis (P00024)	15	0	.39	-	 < 0.01	1.00E00	1.00E00
General transcription by RNA polymerase I (P00022)	13	0	.34	-	 < 0.01	1.00E00	1.00E00
Endothelin signaling pathway (P00019)	73	0	1.89	-	 < 0.01	2.67E-01	1.00E00
DNA replication (P00017)	22	0	.57	-	 < 0.01	1.00E00	1.00E00
Circadian clock system (P00015)	13	0	.34	-	 < 0.01	1.00E00	1.00E00
Cholesterol biosynthesis (P00014)	11	0	.28	-	 < 0.01	1.00E00	1.00E00
Cell cycle (P00013)	21	0	.54	-	 < 0.01	1.00E00	1.00E00
B cell activation (P00010)	55	0	1.42	-	 < 0.01	6.50E-01	1.00E00
Axon guidance mediated by netrin (P00009)	34	0	.88	-	 < 0.01	1.00E00	1.00E00
Axon guidance mediated by Slit/Robo (P00008)	23	0	.59	-	 < 0.01	1.00E00	1.00E00
Axon guidance mediated by semaphorins (P00007)	21	0	.54	-	 < 0.01	1.00E00	1.00E00
